SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS,INDICE_OUV
----------,------------------------,------------------------------------------------------------------------,-----------,-------------,----------------,----------------,---------------,----------
02/01/2013,905001,TUNINDEX,4621.99,4579.85,0.92,4621.99,4586.71,4588.08
02/01/2013,905002,INDSF,3066.30,3057.11,0.30,3067.35,3049.30,3058.07
02/01/2013,905003,INDBQ,2749.78,2743.45,0.23,2750.55,2733.41,2743.45
02/01/2013,905004,INDAS,8952.83,8969.35,-0.18,8975.17,8940.60,8969.35
02/01/2013,905005,INSFI,4704.01,4640.49,1.37,4704.01,4651.94,4656.83
02/01/2013,905008,INDSC,3928.61,3874.16,1.41,3932.96,3878.04,3878.04
02/01/2013,905009,INDDI,5697.27,5629.94,1.20,5707.00,5629.66,5633.05
02/01/2013,905013,INBCO,2663.43,2634.37,1.10,2683.88,2634.68,2634.68
02/01/2013,905014,INAUE,2361.04,2342.81,0.78,2369.10,2342.81,2342.81
02/01/2013,905015,INAAB,2720.70,2693.14,1.02,2746.76,2693.14,2693.14
02/01/2013,905017,INDIN,1862.78,1812.46,2.78,1862.78,1817.14,1831.08
02/01/2013,905018,INBMC,1308.69,1268.66,3.16,1308.69,1272.51,1283.59
02/01/2013,905020,INDMB,2599.97,2540.06,2.36,2599.97,2537.31,2540.06
02/01/2013,905028,TUNINDEX20,1807.53,1791.82,0.88,1807.53,1792.81,1794.98
03/01/2013,905001,TUNINDEX,4642.08,4621.99,0.43,4654.52,4621.81,4643.92
03/01/2013,905002,INDSF,3070.24,3066.30,0.13,3090.97,3058.33,3089.46
03/01/2013,905003,INDBQ,2753.00,2749.78,0.12,2774.39,2744.51,2774.39
03/01/2013,905004,INDAS,8990.21,8952.83,0.42,8990.21,8901.44,8952.83
03/01/2013,905005,INSFI,4703.39,4704.01,-0.01,4734.96,4646.69,4709.60
03/01/2013,905008,INDSC,3947.45,3928.61,0.48,3956.91,3895.26,3930.49
03/01/2013,905009,INDDI,5703.18,5697.27,0.10,5726.75,5630.57,5670.37
03/01/2013,905013,INBCO,2688.91,2663.43,0.96,2697.39,2654.82,2664.20
03/01/2013,905014,INAUE,2454.99,2361.04,3.98,2454.99,2356.30,2356.30
03/01/2013,905015,INAAB,2737.80,2720.70,0.63,2758.89,2707.49,2721.61
03/01/2013,905017,INDIN,1892.50,1862.78,1.60,1900.22,1868.49,1868.95
03/01/2013,905018,INBMC,1331.00,1308.69,1.70,1337.92,1313.35,1313.72
03/01/2013,905020,INDMB,2596.29,2599.97,-0.14,2632.10,2563.23,2596.29
03/01/2013,905028,TUNINDEX20,1817.90,1807.53,0.57,1827.20,1807.96,1816.06
04/01/2013,905001,TUNINDEX,4654.33,4642.08,0.26,4677.97,4642.69,4648.85
04/01/2013,905002,INDSF,3068.77,3070.24,-0.05,3089.68,3052.30,3074.61
04/01/2013,905003,INDBQ,2753.48,2753.00,0.02,2774.08,2734.89,2756.11
04/01/2013,905004,INDAS,8994.91,8990.21,0.05,9025.64,8950.85,8985.54
04/01/2013,905005,INSFI,4668.97,4703.39,-0.73,4728.46,4668.97,4728.46
04/01/2013,905008,INDSC,3964.21,3947.45,0.42,3980.92,3923.76,3948.09
04/01/2013,905009,INDDI,5723.46,5703.18,0.36,5740.72,5648.61,5704.18
04/01/2013,905013,INBCO,2724.14,2688.91,1.31,2734.42,2689.27,2689.48
04/01/2013,905014,INAUE,2520.72,2454.99,2.68,2528.61,2447.10,2447.10
04/01/2013,905015,INAAB,2767.65,2737.80,1.09,2784.84,2738.47,2738.47
04/01/2013,905017,INDIN,1903.14,1892.50,0.56,1920.18,1897.53,1901.41
04/01/2013,905018,INBMC,1334.89,1331.00,0.29,1350.95,1330.90,1335.88
04/01/2013,905020,INDMB,2606.68,2596.29,0.40,2615.58,2584.65,2599.05
04/01/2013,905028,TUNINDEX20,1824.82,1817.90,0.38,1835.92,1821.14,1821.14
07/01/2013,905001,TUNINDEX,4652.74,4654.33,-0.03,4663.86,4632.11,4651.63
07/01/2013,905002,INDSF,3070.87,3068.77,0.07,3075.23,3043.92,3065.37
07/01/2013,905003,INDBQ,2753.14,2753.48,-0.01,2760.60,2728.19,2749.98
07/01/2013,905004,INDAS,9015.93,8994.91,0.23,9015.93,8961.19,8992.57
07/01/2013,905005,INSFI,4700.36,4668.97,0.67,4700.36,4654.86,4667.38
07/01/2013,905008,INDSC,3968.93,3964.21,0.12,4000.24,3945.47,3965.49
07/01/2013,905009,INDDI,5724.95,5723.46,0.03,5767.92,5685.42,5725.45
07/01/2013,905013,INBCO,2753.83,2724.14,1.09,2781.42,2723.92,2723.92
07/01/2013,905014,INAUE,2502.98,2520.72,-0.70,2540.00,2502.98,2518.97
07/01/2013,905015,INAAB,2804.92,2767.65,1.35,2834.41,2767.65,2767.65
07/01/2013,905017,INDIN,1870.27,1903.14,-1.73,1905.35,1870.27,1903.82
07/01/2013,905018,INBMC,1310.05,1334.89,-1.86,1335.72,1309.46,1335.44
07/01/2013,905020,INDMB,2603.49,2606.68,-0.12,2614.95,2575.94,2614.95
07/01/2013,905028,TUNINDEX20,1827.85,1824.82,0.17,1832.60,1820.20,1823.13
08/01/2013,905001,TUNINDEX,4634.63,4652.74,-0.39,4646.36,4618.32,4646.36
08/01/2013,905002,INDSF,3063.27,3070.87,-0.25,3070.17,3051.38,3067.21
08/01/2013,905003,INDBQ,2746.39,2753.14,-0.25,2751.52,2731.22,2749.63
08/01/2013,905004,INDAS,8987.18,9015.93,-0.32,9005.69,8966.16,9005.69
08/01/2013,905005,INSFI,4690.59,4700.36,-0.21,4736.84,4690.59,4698.13
08/01/2013,905008,INDSC,3970.27,3968.93,0.03,3975.06,3941.67,3948.08
08/01/2013,905009,INDDI,5729.97,5724.95,0.09,5737.02,5683.65,5698.29
08/01/2013,905013,INBCO,2721.80,2753.83,-1.16,2754.04,2717.87,2753.83
08/01/2013,905014,INAUE,2509.74,2502.98,0.27,2529.80,2481.95,2502.98
08/01/2013,905015,INAAB,2764.15,2804.92,-1.45,2777.34,2762.83,2777.34
08/01/2013,905017,INDIN,1861.52,1870.27,-0.47,1867.05,1844.28,1866.70
08/01/2013,905018,INBMC,1302.84,1310.05,-0.55,1307.22,1290.08,1307.22
