SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS,INDICE_OUV,SOURCE_FILE,SOURCE_FOLDER,CODE_IND,LIB_IND
2008-05-30,905001.0,TUNINDEX,2957.56,2950.88,0.23,2958.27,2943.14,2946.62,histo_indice_2008.csv,indice_2008,,
2008-06-02,905001.0,TUNINDEX,2961.87,2957.56,0.15,2970.14,2951.67,2962.93,histo_indice_2008.csv,indice_2008,,
2008-06-03,905001.0,TUNINDEX,2962.52,2961.87,0.02,2962.52,2954.74,2960.69,histo_indice_2008.csv,indice_2008,,
2008-06-04,905001.0,TUNINDEX,2967.47,2962.52,0.17,2967.47,2906.27,2911.87,histo_indice_2008.csv,indice_2008,,
2008-06-05,905001.0,TUNINDEX,2988.19,2967.47,0.7,2988.19,2959.11,2959.11,histo_indice_2008.csv,indice_2008,,
2008-06-06,905001.0,TUNINDEX,2991.14,2988.19,0.1,3009.86,2984.06,2999.99,histo_indice_2008.csv,indice_2008,,
2008-06-09,905001.0,TUNINDEX,2995.24,2991.14,0.14,2995.24,2980.11,2989.9,histo_indice_2008.csv,indice_2008,,
2008-06-10,905001.0,TUNINDEX,2994.99,2995.24,-0.01,2997.11,2982.73,2995.25,histo_indice_2008.csv,indice_2008,,
2008-06-11,905001.0,TUNINDEX,3004.81,2994.99,0.33,3004.81,2992.96,2996.35,histo_indice_2008.csv,indice_2008,,
2008-06-12,905001.0,TUNINDEX,3003.91,3004.81,-0.03,3006.95,2990.92,3006.95,histo_indice_2008.csv,indice_2008,,
2008-06-13,905001.0,TUNINDEX,2997.61,3003.91,-0.21,3005.75,2989.64,2999.31,histo_indice_2008.csv,indice_2008,,
2008-06-16,905001.0,TUNINDEX,2997.24,2997.61,-0.01,3001.85,2973.48,2973.48,histo_indice_2008.csv,indice_2008,,
2008-06-17,905001.0,TUNINDEX,2985.6,2997.24,-0.39,2998.4,2978.63,2992.88,histo_indice_2008.csv,indice_2008,,
2008-06-18,905001.0,TUNINDEX,3014.46,2985.6,0.97,3014.7,2987.79,2997.95,histo_indice_2008.csv,indice_2008,,
2008-06-19,905001.0,TUNINDEX,3027.5,3014.46,0.43,3027.5,3005.54,3009.14,histo_indice_2008.csv,indice_2008,,
2008-06-20,905001.0,TUNINDEX,3032.71,3027.5,0.17,3032.71,3010.99,3030.41,histo_indice_2008.csv,indice_2008,,
2008-06-23,905001.0,TUNINDEX,3034.9,3032.71,0.07,3035.33,3015.27,3029.83,histo_indice_2008.csv,indice_2008,,
2008-06-24,905001.0,TUNINDEX,3029.8,3034.9,-0.17,3036.28,3021.57,3035.28,histo_indice_2008.csv,indice_2008,,
2008-06-25,905001.0,TUNINDEX,3030.53,3029.8,0.02,3034.94,3020.05,3028.9,histo_indice_2008.csv,indice_2008,,
2008-06-26,905001.0,TUNINDEX,3035.5,3030.53,0.16,3035.5,3012.2,3027.41,histo_indice_2008.csv,indice_2008,,
2008-06-27,905001.0,TUNINDEX,3059.63,3035.5,0.79,3060.26,3033.68,3033.68,histo_indice_2008.csv,indice_2008,,
2008-06-30,905001.0,TUNINDEX,3057.79,3059.63,-0.06,3070.66,3046.58,3055.19,histo_indice_2008.csv,indice_2008,,
2008-07-01,905001.0,TUNINDEX,3042.44,3057.79,-0.5,3061.77,3037.14,3053.08,histo_indice_2008.csv,indice_2008,,
2008-07-02,905001.0,TUNINDEX,3032.16,3042.44,-0.34,3043.33,3026.37,3039.14,histo_indice_2008.csv,indice_2008,,
2008-07-03,905001.0,TUNINDEX,3040.05,3032.16,0.26,3047.17,3030.48,3034.47,histo_indice_2008.csv,indice_2008,,
2008-07-04,905001.0,TUNINDEX,3039.83,3040.05,-0.01,3044.96,3032.12,3041.32,histo_indice_2008.csv,indice_2008,,
2008-07-07,905001.0,TUNINDEX,3046.59,3039.83,0.22,3046.59,3035.61,3035.76,histo_indice_2008.csv,indice_2008,,
2008-07-08,905001.0,TUNINDEX,3024.56,3046.59,-0.72,3046.8,3023.92,3046.42,histo_indice_2008.csv,indice_2008,,
2008-07-09,905001.0,TUNINDEX,3000.87,3024.56,-0.78,3030.51,2997.56,3030.51,histo_indice_2008.csv,indice_2008,,
2008-07-10,905001.0,TUNINDEX,2964.11,3000.87,-1.22,2990.02,2957.29,2989.13,histo_indice_2008.csv,indice_2008,,
2008-07-11,905001.0,TUNINDEX,2981.15,2964.11,0.57,2981.63,2954.92,2955.8,histo_indice_2008.csv,indice_2008,,
2008-07-14,905001.0,TUNINDEX,2982.23,2981.15,0.04,2990.1,2979.4,2986.58,histo_indice_2008.csv,indice_2008,,
2008-07-15,905001.0,TUNINDEX,2994.57,2982.23,0.41,2997.81,2983.19,2989.02,histo_indice_2008.csv,indice_2008,,
2008-07-16,905001.0,TUNINDEX,2992.79,2994.57,-0.06,2997.23,2987.57,2990.44,histo_indice_2008.csv,indice_2008,,
2008-07-17,905001.0,TUNINDEX,3005.55,2992.79,0.43,3007.05,2995.65,2999.87,histo_indice_2008.csv,indice_2008,,
2008-07-18,905001.0,TUNINDEX,2998.77,3005.55,-0.23,3010.15,2995.49,3008.49,histo_indice_2008.csv,indice_2008,,
2008-07-21,905001.0,TUNINDEX,3005.52,2998.77,0.23,3006.62,2991.45,3002.97,histo_indice_2008.csv,indice_2008,,
2008-07-22,905001.0,TUNINDEX,3006.34,3005.52,0.03,3007.15,2988.56,3003.11,histo_indice_2008.csv,indice_2008,,
2008-07-23,905001.0,TUNINDEX,3016.39,3006.34,0.33,3016.39,2988.84,3000.1,histo_indice_2008.csv,indice_2008,,
2008-07-24,905001.0,TUNINDEX,3020.55,3016.39,0.14,3025.91,3009.77,3012.31,histo_indice_2008.csv,indice_2008,,
2008-07-28,905001.0,TUNINDEX,3018.42,3020.55,-0.07,3022.58,3006.77,3022.37,histo_indice_2008.csv,indice_2008,,
2008-07-29,905001.0,TUNINDEX,3025.43,3018.42,0.23,3025.72,3014.3,3016.87,histo_indice_2008.csv,indice_2008,,
2008-07-30,905001.0,TUNINDEX,3029.95,3025.43,0.15,3031.02,3021.33,3026.43,histo_indice_2008.csv,indice_2008,,
2008-07-31,905001.0,TUNINDEX,3036.87,3029.95,0.23,3037.41,3023.85,3031.96,histo_indice_2008.csv,indice_2008,,
2008-08-01,905001.0,TUNINDEX,3037.52,3036.87,0.02,3043.55,3024.04,3024.95,histo_indice_2008.csv,indice_2008,,
2008-08-04,905001.0,TUNINDEX,3039.59,3037.52,0.07,3039.59,3025.26,3034.61,histo_indice_2008.csv,indice_2008,,
2008-08-05,905001.0,TUNINDEX,3035.47,3039.59,-0.14,3035.47,3018.2,3033.67,histo_indice_2008.csv,indice_2008,,
2008-08-06,905001.0,TUNINDEX,3045.23,3035.47,0.32,3045.23,3032.9,3038.4,histo_indice_2008.csv,indice_2008,,
2008-08-07,905001.0,TUNINDEX,3053.12,3045.23,0.26,3053.32,3043.3,3045.26,histo_indice_2008.csv,indice_2008,,
2008-08-08,905001.0,TUNINDEX,3075.44,3053.12,0.73,3078.32,3052.93,3057.22,histo_indice_2008.csv,indice_2008,,
2008-08-11,905001.0,TUNINDEX,3139.57,3075.44,2.09,3139.57,3072.05,3072.05,histo_indice_2008.csv,indice_2008,,
2008-08-12,905001.0,TUNINDEX,3144.9,3139.57,0.17,3148.35,3138.3,3140.62,histo_indice_2008.csv,indice_2008,,
2008-08-14,905001.0,TUNINDEX,3168.88,3144.9,0.76,3171.23,3147.25,3147.25,histo_indice_2008.csv,indice_2008,,
2008-08-15,905001.0,TUNINDEX,3170.46,3168.88,0.05,3174.86,3158.66,3166.06,histo_indice_2008.csv,indice_2008,,
2008-08-18,905001.0,TUNINDEX,3176.94,3170.46,0.2,3183.91,3168.4,3168.4,histo_indice_2008.csv,indice_2008,,
2008-08-19,905001.0,TUNINDEX,3233.44,3176.94,1.78,3233.44,3176.94,3176.94,histo_indice_2008.csv,indice_2008,,
2008-08-20,905001.0,TUNINDEX,3217.81,3233.44,-0.48,3236.75,3210.58,3236.41,histo_indice_2008.csv,indice_2008,,
2008-08-21,905001.0,TUNINDEX,3199.48,3217.81,-0.57,3226.08,3191.94,3222.1,histo_indice_2008.csv,indice_2008,,
2008-08-22,905001.0,TUNINDEX,3220.5,3199.48,0.66,3220.5,3195.58,3195.58,histo_indice_2008.csv,indice_2008,,
2008-08-25,905001.0,TUNINDEX,3219.7,3220.5,-0.02,3221.92,3205.4,3211.95,histo_indice_2008.csv,indice_2008,,
2008-08-26,905001.0,TUNINDEX,3223.02,3219.7,0.1,3224.78,3212.91,3220.54,histo_indice_2008.csv,indice_2008,,
2008-08-27,905001.0,TUNINDEX,3252.0,3223.02,0.9,3252.0,3230.77,3230.77,histo_indice_2008.csv,indice_2008,,
2008-08-28,905001.0,TUNINDEX,3289.71,3252.0,1.16,3293.25,3249.38,3249.81,histo_indice_2008.csv,indice_2008,,
2008-08-29,905001.0,TUNINDEX,3324.46,3289.71,1.06,3324.46,3296.09,3304.21,histo_indice_2008.csv,indice_2008,,
2008-09-01,905001.0,TUNINDEX,3328.42,3324.46,0.12,3347.14,3303.97,3327.82,histo_indice_2008.csv,indice_2008,,
2008-09-02,905001.0,TUNINDEX,3291.85,3328.42,-1.1,3318.29,3288.15,3318.29,histo_indice_2008.csv,indice_2008,,
2008-09-03,905001.0,TUNINDEX,3287.61,3291.85,-0.13,3291.28,3274.15,3288.81,histo_indice_2008.csv,indice_2008,,
2008-09-04,905001.0,TUNINDEX,3295.91,3287.61,0.25,3300.68,3275.79,3287.61,histo_indice_2008.csv,indice_2008,,
2008-09-05,905001.0,TUNINDEX,3330.07,3295.91,1.04,3330.07,3305.62,3305.62,histo_indice_2008.csv,indice_2008,,
2008-09-08,905001.0,TUNINDEX,3372.67,3330.07,1.28,3374.11,3336.52,3336.52,histo_indice_2008.csv,indice_2008,,
2008-09-09,905001.0,TUNINDEX,3418.13,3372.67,1.35,3418.82,3373.51,3374.3,histo_indice_2008.csv,indice_2008,,
2008-09-10,905001.0,TUNINDEX,3400.13,3418.13,-0.53,3447.03,3395.81,3418.95,histo_indice_2008.csv,indice_2008,,
2008-09-11,905001.0,TUNINDEX,3397.84,3400.13,-0.07,3402.73,3385.76,3395.57,histo_indice_2008.csv,indice_2008,,
2008-09-12,905001.0,TUNINDEX,3384.68,3397.84,-0.39,3427.2,3384.39,3402.62,histo_indice_2008.csv,indice_2008,,
2008-09-15,905001.0,TUNINDEX,3353.02,3384.68,-0.94,3388.16,3353.02,3380.16,histo_indice_2008.csv,indice_2008,,
2008-09-16,905001.0,TUNINDEX,3304.36,3353.02,-1.45,3362.88,3304.36,3362.62,histo_indice_2008.csv,indice_2008,,
2008-09-17,905001.0,TUNINDEX,3346.72,3304.36,1.28,3346.72,3290.61,3301.67,histo_indice_2008.csv,indice_2008,,
2008-09-18,905001.0,TUNINDEX,3333.88,3346.72,-0.38,3352.94,3323.1,3352.15,histo_indice_2008.csv,indice_2008,,
2008-09-19,905001.0,TUNINDEX,3340.79,3333.88,0.21,3348.96,3324.5,3339.07,histo_indice_2008.csv,indice_2008,,
2008-09-22,905001.0,TUNINDEX,3355.92,3340.79,0.45,3359.43,3338.34,3338.34,histo_indice_2008.csv,indice_2008,,
2008-09-23,905001.0,TUNINDEX,3346.21,3355.92,-0.29,3373.21,3346.21,3373.21,histo_indice_2008.csv,indice_2008,,
2008-09-24,905001.0,TUNINDEX,3355.56,3346.21,0.28,3359.49,3346.39,3351.75,histo_indice_2008.csv,indice_2008,,
2008-09-25,905001.0,TUNINDEX,3367.86,3355.56,0.37,3369.27,3356.07,3363.32,histo_indice_2008.csv,indice_2008,,
2008-09-26,905001.0,TUNINDEX,3371.48,3367.86,0.11,3376.57,3348.06,3373.59,histo_indice_2008.csv,indice_2008,,
2008-09-29,905001.0,TUNINDEX,3362.0,3371.48,-0.28,3366.48,3359.27,3364.78,histo_indice_2008.csv,indice_2008,,
2008-10-03,905001.0,TUNINDEX,3279.97,3362.0,-2.44,3344.88,3279.97,3344.88,histo_indice_2008.csv,indice_2008,,
2008-10-06,905001.0,TUNINDEX,3119.89,3279.97,-4.88,3253.3,3119.89,3249.31,histo_indice_2008.csv,indice_2008,,
2008-10-07,905001.0,TUNINDEX,3213.21,3119.89,2.99,3213.21,3047.89,3118.06,histo_indice_2008.csv,indice_2008,,
2008-10-08,905001.0,TUNINDEX,3105.55,3213.21,-3.35,3187.81,3099.95,3187.81,histo_indice_2008.csv,indice_2008,,
2008-10-09,905001.0,TUNINDEX,3112.26,3105.55,0.22,3112.26,3054.35,3099.87,histo_indice_2008.csv,indice_2008,,
2008-10-10,905001.0,TUNINDEX,3065.84,3112.26,-1.49,3108.55,3060.52,3108.55,histo_indice_2008.csv,indice_2008,,
2008-10-13,905001.0,TUNINDEX,3103.94,3065.84,1.24,3107.93,3073.26,3073.26,histo_indice_2008.csv,indice_2008,,
2008-10-14,905001.0,TUNINDEX,3189.44,3103.94,2.75,3191.43,3120.98,3120.98,histo_indice_2008.csv,indice_2008,,
2008-10-15,905001.0,TUNINDEX,3176.51,3189.44,-0.41,3197.73,3174.4,3191.56,histo_indice_2008.csv,indice_2008,,
2008-10-16,905001.0,TUNINDEX,3122.36,3176.51,-1.7,3166.41,3100.55,3166.41,histo_indice_2008.csv,indice_2008,,
2008-10-17,905001.0,TUNINDEX,3106.32,3122.36,-0.51,3136.24,3093.5,3133.64,histo_indice_2008.csv,indice_2008,,
2008-10-20,905001.0,TUNINDEX,3073.25,3106.32,-1.06,3110.77,3069.14,3106.43,histo_indice_2008.csv,indice_2008,,
2008-10-21,905001.0,TUNINDEX,3060.56,3073.25,-0.41,3071.21,3054.43,3066.14,histo_indice_2008.csv,indice_2008,,
2008-10-22,905001.0,TUNINDEX,3044.78,3060.56,-0.52,3057.59,3044.78,3057.59,histo_indice_2008.csv,indice_2008,,
2008-10-23,905001.0,TUNINDEX,2970.32,3044.78,-2.45,3033.78,2963.37,3033.78,histo_indice_2008.csv,indice_2008,,
2008-10-24,905001.0,TUNINDEX,2982.04,2970.32,0.39,2982.04,2879.46,2969.71,histo_indice_2008.csv,indice_2008,,
2008-10-27,905001.0,TUNINDEX,3015.28,2982.04,1.11,3033.02,2987.14,2988.03,histo_indice_2008.csv,indice_2008,,
2008-10-28,905001.0,TUNINDEX,3016.98,3015.28,0.06,3025.15,3005.12,3016.12,histo_indice_2008.csv,indice_2008,,
2008-10-29,905001.0,TUNINDEX,3044.85,3016.98,0.92,3044.85,3019.9,3019.9,histo_indice_2008.csv,indice_2008,,
2008-10-30,905001.0,TUNINDEX,3066.38,3044.85,0.71,3075.83,3059.23,3059.58,histo_indice_2008.csv,indice_2008,,
2008-10-31,905001.0,TUNINDEX,3051.48,3066.38,-0.49,3076.72,3051.48,3066.19,histo_indice_2008.csv,indice_2008,,
2008-11-03,905001.0,TUNINDEX,3043.14,3051.48,-0.27,3047.98,3036.97,3043.74,histo_indice_2008.csv,indice_2008,,
2008-11-04,905001.0,TUNINDEX,3049.09,3043.14,0.2,3049.78,3032.71,3047.34,histo_indice_2008.csv,indice_2008,,
2008-11-05,905001.0,TUNINDEX,3065.56,3049.09,0.54,3072.73,3047.76,3048.94,histo_indice_2008.csv,indice_2008,,
2008-11-06,905001.0,TUNINDEX,3054.39,3065.56,-0.36,3074.47,3046.99,3072.55,histo_indice_2008.csv,indice_2008,,
2008-11-10,905001.0,TUNINDEX,3058.24,3054.39,0.13,3058.37,3038.56,3044.17,histo_indice_2008.csv,indice_2008,,
2008-11-11,905001.0,TUNINDEX,3065.35,3058.24,0.23,3065.35,3042.82,3058.71,histo_indice_2008.csv,indice_2008,,
2008-11-12,905001.0,TUNINDEX,3090.83,3065.35,0.83,3090.83,3077.8,3077.8,histo_indice_2008.csv,indice_2008,,
2008-11-13,905001.0,TUNINDEX,3090.01,3090.83,-0.03,3096.09,3084.99,3091.6,histo_indice_2008.csv,indice_2008,,
2008-11-14,905001.0,TUNINDEX,3076.68,3090.01,-0.43,3087.98,3060.88,3087.98,histo_indice_2008.csv,indice_2008,,
2008-11-17,905001.0,TUNINDEX,3061.48,3076.68,-0.49,3076.22,3058.39,3075.34,histo_indice_2008.csv,indice_2008,,
